Group,Element,Private Creator,VR,VM,Meaning,Rtn. Safe Priv. Opt.,IsInDICOMRetainSafePrivateTags,TCIA element_sig_pattern
0009,xx9e,GEMS_PETD_01,FL,,Radial Cutoff 3D,keep,False,"(0009,xx9e)"
0009,xx9f,GEMS_PETD_01,SL,,Axial Filter 3D,keep,False,"(0009,xx9f)"
0009,xxa0,GEMS_PETD_01,FL,,Axial Cutoff 3D,keep,False,"(0009,xxa0)"
0009,xxa1,GEMS_PETD_01,FL,,Axial Start,keep,False,"(0009,xxa1)"
0009,xxa2,GEMS_PETD_01,FL,,Axial Spacing,keep,False,"(0009,xxa2)"
0009,xxa3,GEMS_PETD_01,SL,,Axial Angles Used,keep,False,"(0009,xxa3)"
0009,xxa4,GEMS_PETD_01,SH,,compatible_version,keep,False,"(0009,xxa4)"
0009,xxa5,GEMS_PETD_01,SH,,software_version,keep,False,"(0009,xxa5)"
0009,xxa6,GEMS_PETD_01,SL,,slice_number,keep,False,"(0009,xxa6)"
0009,xxa7,GEMS_PETD_01,FL,,total_counts,keep,False,"(0009,xxa7)"
0009,xxa9,GEMS_PETD_01,SL,,other_atts_size,keep,False,"(0009,xxa9)"
0009,xxaa,GEMS_PETD_01,SL,,archived,keep,False,"(0009,xxaa)"
0009,xxab,GEMS_PETD_01,FL,,bp_center_x,keep,False,"(0009,xxab)"
0009,xxac,GEMS_PETD_01,FL,,bp_center_y,keep,False,"(0009,xxac)"
0009,xxad,GEMS_PETD_01,LO,,trans_frame_id,func:generate_hashuid,False,"(0009,xxad)"
0009,xxae,GEMS_PETD_01,LO,,tpluse_frame_id,keep,False,"(0009,xxae)"
0009,xxb2,GEMS_PETD_01,SL,,IR Num Iterations,keep,False,"(0009,xxb2)"
0009,xxb3,GEMS_PETD_01,SL,,IR Num Subsets,keep,False,"(0009,xxb3)"
0009,xxb4,GEMS_PETD_01,FL,,IR Recon FOV,keep,False,"(0009,xxb4)"
0009,xxb5,GEMS_PETD_01,SL,,IR Corr Model,keep,False,"(0009,xxb5)"
0009,xxb6,GEMS_PETD_01,SL,,IR Loop Filter,keep,False,"(0009,xxb6)"
